max_wrist_speed,elbow_angle,release_height,wrist_horizontal_range,wrist_vertical_range,fps,real_distance,source,video_name
76857.71609769104,177.86056605565852,119.5358917519088,1452.1096521263066,531.9419485871377,50.0,77.1111242355168,synthetic,synth_00000.npy
21306.52647067961,148.17960315984178,161.51637998657702,1447.5347512346007,700.5940321066686,39.0,84.57174285571844,synthetic,synth_00001.npy
14375.558089015929,144.51461724204293,150.5226831210676,1503.2236894506327,329.57970613168163,39.0,79.58986166583573,synthetic,synth_00002.npy
4903.981107809798,162.95524475517593,215.7296360725702,2438.0332811006733,801.3981981516066,60.0,79.21576254029915,synthetic,synth_00003.npy
56115.99315467098,185.64025516884402,81.71036394279936,1011.6507446113012,552.3902005057978,39.0,79.3408895488709,synthetic,synth_00004.npy
4903.981107809798,207.3751185667582,193.75073904551118,2257.9575127042226,297.5906180209673,24.0,90.82937942973868,synthetic,synth_00005.npy
11887.909080737725,127.56751802780535,262.9911593865427,1619.537745399178,502.4644602430537,25.0,89.55312709859132,synthetic,synth_00006.npy
4903.981107809798,148.3914088820797,48.931321603668565,1766.5839264640858,515.442668571561,24.0,81.93374791897679,synthetic,synth_00007.npy
20882.79020570429,142.58060547984985,255.23179856031737,508.77824317009527,719.1163973479379,50.0,76.3275402793844,synthetic,synth_00008.npy
15952.142573885187,126.88443235671372,197.07817679164643,2378.305584987251,685.5371989736905,30.0,89.63504505628792,synthetic,synth_00009.npy
64999.68070337648,167.02645743208126,187.6247285717534,376.3964687024941,437.1640030263226,50.0,73.39460139306202,synthetic,synth_00010.npy
37449.98603863549,166.6697957737846,196.90555181761295,1206.2976933208856,798.2736846378604,50.0,76.00211061323381,synthetic,synth_00011.npy
4903.981107809798,119.54822540464039,164.8061567919598,1034.0452662665723,564.1189355200734,24.0,86.82561059896591,synthetic,synth_00012.npy
125928.9315364892,88.9617129556199,88.93979556638863,2278.1200368760838,916.7522322436738,24.0,83.84057228172279,synthetic,synth_00013.npy
30550.328002926177,159.75807482731148,343.13741311270326,1840.2933272847365,332.96935822618684,25.0,96.71967354921853,synthetic,synth_00014.npy
